SMILES,PKM2_inhibition,ERK2_inhibition,NumAromaticHeterocycles,BertzCT,Chi3v,MaxAbsPartialCharge,MinEStateIndex,Kappa1,BCUT2D_LOGPHI,BCUT2D_CHGHI,MolMR,fr_Ar_N,BCUT2D_MWHI,fr_aryl_methyl,fr_unbrch_alkane,Kappa2,FpDensityMorgan2,FpDensityMorgan1,TPSA,HallKierAlpha,MaxAbsEStateIndex,MaxPartialCharge,BCUT2D_LOGPLOW,BCUT2D_MWLOW,MaxEStateIndex,FpDensityMorgan3,fr_ether,Ipc,MinAbsPartialCharge,Chi4v,qed,BCUT2D_MRLOW,fr_sulfonamd,Chi4n,AvgIpc,SPS,MinAbsEStateIndex,Chi1v,BCUT2D_MRHI,fr_methoxy,MinPartialCharge,BalabanJ,BCUT2D_CHGLO,MolLogP
C=C(C)c1nc(N)nc(N)n1,0,0,1,272.7741587520256,1.0517229693805488,0.3676287733054998,0.1208333333333335,7.456951871657753,2.0619501836288245,1.9995021028324969,43.3598,3,15.136768087917734,0,0,2.531037747759121,1.6363636363636365,1.181818181818182,90.71,-1.65,5.313888888888889,0.2248625405975592,-2.0476555190343024,10.324115864834308,5.313888888888889,2.0,0,243.67817650227752,0.2248625405975592,0.6002299556039046,0.5922284516615577,1.044247627182422,0,0.6002299556039046,1.8460467916839207,9.545454545454543,0.1208333333333335,3.022544446282774,5.553819248949201,0,-0.3676287733054998,3.1860125339283023,-1.9853567276561883,0.0690999999999998
C=C(Cl)COc1ccc2c(C)cc(=O)oc2c1,0,0,1,628.0874465289328,2.4273853313816565,0.4878768756623695,-0.366756389798718,11.736875617464657,2.2205495284651837,2.036407523787902,67.70900000000002,0,35.49570440320024,1,0,4.634332104314085,2.235294117647059,1.4705882352941178,39.44,-1.7399999999999998,11.238954212857983,0.3359621562154014,-1.9917142804237304,10.129818904506513,11.238954212857983,2.9411764705882355,1,6646.697849993919,0.3359621562154014,1.6112248222485692,0.7854135781314269,0.359024979016908,0,1.556670349689571,2.2508289366725087,10.470588235294118,0.2253076184177378,5.444609347125139,6.28950380538162,0,-0.4878768756623695,2.42829776784903,-2.05872963235298,3.2327200000000014
C=CCNC(=O)CCCC(=O)NCC=C,0,0,0,212.74242061785372,1.6948143829493565,0.3526467175359424,-0.0496104707315019,13.42,1.9448460316282727,2.025366684855345,60.26440000000003,0,16.15139243375779,0,0,8.993914858931106,1.3333333333333333,0.9333333333333332,58.2,-1.58,11.090706333459307,0.2197549449319271,-2.2503222862550154,10.194130509286218,11.090706333459307,1.6666666666666667,0,1767.0797493267626,0.2197549449319271,0.9582877734671448,0.5810616560654852,-0.1217399398653967,0,0.9582877734671448,2.231161299655003,9.066666666666666,0.0496104707315019,4.955455014692411,5.7843302415581,0,-0.3526467175359424,3.4295495460891723,-2.024953117294272,0.7610999999999999
C=CCOn1c(=O)c(C)[n+]([O-])c2ccccc21,0,0,1,631.4187253539496,2.439418558159443,0.6178879092569419,-0.4578240740740733,11.193326301269831,2.062715563982788,2.1653569194840805,63.54900000000004,2,16.65860716406696,0,0,4.288212462884979,2.235294117647059,1.5294117647058822,58.17,-2.2999999999999994,11.89223828420257,0.3516241185670493,-2.432023918289352,10.26693269274244,11.89223828420257,2.9411764705882355,0,8230.924683338097,0.3516241185670493,1.5869486786342308,0.4410903451695889,-0.5857232687246199,0,1.5869486786342308,2.36181483022614,10.411764705882351,0.0766317082388512,5.146221692614124,5.705260869913356,0,-0.6178879092569419,2.8020265564294933,-2.1093267762996337,0.5579200000000001
C=CCn1cc(Cl)c(=O)n(CC=C)c1=O,0,0,1,499.1243443235101,2.091972822783942,0.3311432712419003,-0.4982602670697902,11.524349442379185,1.9703464843152148,2.0689676524658545,60.36600000000001,2,35.49569130631923,0,0,4.794988653138566,1.8666666666666667,1.2666666666666666,44.0,-1.5499999999999996,11.69358024691358,0.3311432712419003,-2.3884195739586827,10.48628143533195,11.69358024691358,2.4,0,2047.6211576633136,0.2950993190185538,1.397909290906596,0.7203434488045809,0.625698602150545,0,1.1780885881217888,2.211253949960382,9.933333333333334,0.0123148148148153,4.708338111458743,6.297760172663907,0,-0.2950993190185538,3.4781145225621946,-2.0665186084728133,1.0353999999999997
CC(=O)N(C)c1ccc(NC(=O)c2ccco2)cc1,0,0,1,573.2483621036461,2.729780045903614,0.4591912790021821,-0.3077106428991345,12.885564346435489,2.1723277061115107,2.091699618881897,72.18720000000003,0,16.34062220541161,0,0,5.389882272896517,1.8421052631578947,1.1578947368421053,62.55,-2.56,11.732827590912908,0.2908486084750213,-2.2218791317404705,10.228251760491968,11.732827590912908,2.3684210526315788,0,27258.332338638706,0.2908486084750213,1.550626760714988,0.919643862380939,-0.1158000833806272,0,1.550626760714988,2.923459066778068,10.0,0.0487304363639133,5.769210893398624,6.019666803519547,0,-0.4591912790021821,2.069068215582925,-2.1475756200834706,2.5146000000000006
CC(=O)c1c(N(C)C)cc[nH+]c1C(F)(F)F,0,0,1,413.015435837158,2.092355247589821,0.4777997611422253,-4.562476851851852,12.47939625260236,2.3205852079237927,2.4289067481411646,52.33120000000002,1,19.413219587986934,0,0,4.112336342245376,1.9375,1.375,34.45,-1.59,12.650129440665156,0.4777997611422253,-2.273018499661593,10.06916184477606,12.650129440665156,2.3125,0,2211.4571746035444,0.3766922392120481,1.4401395239998225,0.7296858129161745,-0.425471290443554,0,1.4401395239998225,2.1449633119336027,11.375,0.2486805555555558,4.549788446018627,6.000136869036392,0,-0.3766922392120481,3.5155596118206547,-2.1568171407631107,1.7881
CC(C)(N[O-])/C(=N/O)c1cccs1,0,0,1,293.1024881498305,2.5783157026993404,0.7871008090800096,-0.8615046296296294,10.17271298593879,2.176389405920313,2.231974944443148,53.22420000000002,0,32.13347326971012,0,0,3.865714294029372,2.3846153846153846,1.6923076923076923,67.67999999999999,-0.91,10.609822373393802,0.1152180779263057,-2.432846827266287,9.9827475986704,10.609822373393802,2.769230769230769,0,1019.8251928644748,0.1152180779263057,1.8124067813254796,0.4427906109725376,0.3131568102829928,0,0.9439180955676564,2.581835931302468,13.307692307692308,0.3587962962962967,4.652551961125733,7.117986065474728,0,-0.7871008090800096,3.0082265404691277,-2.2967923023662413,1.7924
CC(C)C(=O)Nc1cc(=O)nc2nc[nH]n12,0,0,2,582.842024519899,2.0537918523657592,0.3102124618185528,-0.4387443310657593,10.341598816932294,2.0544571072919484,2.10681852472104,57.07540000000001,4,16.15068712255335,0,0,3.761954042784855,2.3125,1.5625,92.15,-2.18,11.507898715041572,0.2762538251939788,-2.216952736242699,10.193088207698748,11.507898715041572,3.0,0,5288.128861781695,0.2762538251939788,1.1908444752628902,0.7468371919365746,-0.1184638006828039,0,1.1908444752628902,2.6453871244530736,10.9375,0.1649640967498111,4.817489043469402,5.908482967753431,0,-0.3102124618185528,2.468616370799737,-2.075370763893712,0.0120999999999998
CC(C)[NH+](Cc1nc2ccccc2[nH]1)C(C)C,0,0,1,443.9279086754756,3.2931519144766592,0.3372059620845017,0.6140854119425545,12.11605163722281,2.0900685736789337,2.1861250833123105,71.03240000000004,2,15.1890164641371,0,0,4.880233899047509,1.7647058823529411,1.1176470588235294,33.120000000000005,-1.35,4.6409259259259255,0.1622139228646941,-3.162025615425923,10.209842353651602,4.6409259259259255,2.3529411764705883,0,8619.908372216614,0.1622139228646941,2.3576230228045474,0.8272033839040371,-0.9553971620237935,0,2.3576230228045474,2.667876314520772,12.176470588235292,0.6140854119425545,6.368421991824262,5.7409593796348215,0,-0.3372059620845017,2.220398024933982,-2.258683804128476,1.7645999999999993
