SMILES,PKM2_inhibition,ERK2_inhibition,VSA_EState10,FractionCSP3,PEOE_VSA12,VSA_EState6,fr_phos_acid,SMR_VSA6,VSA_EState1,fr_Al_OH_noTert,fr_Al_OH_noTert,SPS,SPS,VSA_EState9,fr_NH2,fr_NH2,Chi1n,fr_C_O,fr_C_O,Chi4n,Chi4n,PEOE_VSA1,LabuteASA,fr_C_O_noCOO,fr_C_O_noCOO,fr_phenol_noOrthoHbond,fr_phenol_noOrthoHbond,fr_Al_OH,fr_Al_OH,AvgIpc,AvgIpc,VSA_EState8,BalabanJ,BalabanJ,Chi0n,PEOE_VSA13,Chi1,NumAromaticCarbocycles,NumAromaticCarbocycles,Chi1v,Chi1v,SMR_VSA7,fr_lactam,Kappa3,Kappa3,HeavyAtomMolWt,fr_COO,fr_COO,fr_HOCCN,NumHDonors,NumHDonors,VSA_EState2,EState_VSA11,Kappa2,Kappa2,fr_barbitur,fr_barbitur,Chi2n,Chi2n,EState_VSA8,fr_Ar_COO,fr_Ar_COO,NumValenceElectrons,PEOE_VSA10,VSA_EState4,NumSaturatedHeterocycles,NumSaturatedHeterocycles,ExactMolWt,NHOHCount,NHOHCount,PEOE_VSA11,fr_ketone_Topliss,fr_ketone_Topliss,fr_azo,EState_VSA9
C=C(C)c1nc(N)nc(N)n1,0,0,0.0,0.16666666666666666,11.896678561972989,0.0,0,11.46733495432437,0.0,0,0,9.545454545454543,9.545454545454545,0.0,2,2,3.022544446282774,0,0,0.6002299556039046,0.6002299556039046,11.46733495432437,64.1753517673675,0,0,0,0,0,0,1.8460467916839207,1.8460467916839207,5.415740740740741,3.1860125339283023,3.1860125339283023,6.203448106065674,0.0,5.092224152875015,0,0,3.022544446282774,3.022544446282774,12.403340181598423,0,1.635046558778181,1.635046558778181,142.101,0,0,0,2,2,11.227962962962962,0.0,2.531037747759121,2.531037747759121,0,0,2.1557448597591806,2.1557448597591806,21.53087124644012,0,0,58,0.0,11.341481481481482,0,0,151.08579528799999,4,4,5.824404497999927,0,0,0,11.46733495432437
C=C(Cl)COc1ccc2c(C)cc(=O)oc2c1,0,0,5.603462205355392,0.15384615384615385,0.0,6.7798875398925,0,6.606881964512918,10.460706254724112,0,0,10.470588235294118,10.470588235294118,0.0,0,0,5.066644874115911,0,0,1.556670349689571,1.556670349689571,9.154013890853395,103.26638345707572,0,0,0,0,0,0,2.2508289366725087,2.2508289366725087,5.614552075459814,2.42829776784903,2.42829776784903,9.326323983532415,0.0,8.058550648063802,1,1,5.444609347125139,5.444609347125139,51.86026530440534,0,2.6838370925322383,2.6838370925322383,239.59299999999996,0,0,0,0,0,11.238954212857983,0.0,4.634332104314085,4.634332104314085,0,0,3.712350044440544,3.7123500444405444,6.578935683598497,0,0,88,17.939413939439063,1.0195748999188154,0,0,250.039671892,0,0,0.0,0,0,0,20.754953781085913
C=CCNC(=O)CCCC(=O)NCC=C,0,0,0.0,0.45454545454545453,11.814359458703011,0.0,0,13.08951281182515,0.0,0,0,9.066666666666666,9.066666666666666,0.0,0,0,4.955455014692411,2,2,0.9582877734671448,0.9582877734671448,10.633577208012662,90.43223467473075,2,2,0,0,0,0,2.231161299655003,2.231161299655003,7.920723209036701,3.4295495460891723,3.4295495460891723,8.920944587612812,0.0,7.201907262607799,0,0,4.955455014692411,4.955455014692411,25.309911580864757,0,8.74206119162641,8.74206119162641,192.13299999999998,0,0,0,2,2,22.181412666918618,0.0,8.993914858931106,8.993914858931106,0,0,3.039058011260055,3.039058011260055,23.791448575209657,0,0,84,0.0,0.0,0,0,210.136827816,2,2,0.0,0,0,0,0.0
C=CCOn1c(=O)c(C)[n+]([O-])c2ccccc21,0,0,0.0,0.16666666666666666,5.516700717616262,6.7773538674729155,0,6.606881964512918,1.74224537037037,0,0,10.411764705882351,10.411764705882353,0.0,0,0,5.146221692614124,0,0,1.5869486786342308,1.5869486786342308,10.044841608513924,97.71985009242066,0,0,0,0,0,0,2.36181483022614,2.3618148302261397,5.186558484504913,2.8020265564294933,2.8020265564294933,9.420136970712731,5.693927994848461,8.163902460147014,1,1,5.146221692614124,5.146221692614124,58.1754091630284,0,1.75386751956906,1.75386751956906,220.14299999999994,0,0,0,0,0,17.161173469387755,0.0,4.288212462884979,4.288212462884979,0,0,3.5524735114736394,3.5524735114736394,6.578935683598497,0,0,88,6.606881964512918,0.46011526832955596,0,0,232.084792244,0,0,5.516700717616262,0,0,0,4.8375885837366335
C=CCn1cc(Cl)c(=O)n(CC=C)c1=O,0,0,5.700783572688334,0.2,0.0,0.0,0,0.0,2.346296296296296,0,0,9.933333333333334,9.933333333333334,0.0,0,0,4.330373638449516,0,0,1.1780885881217888,1.1780885881217888,0.0,91.72739910356098,0,0,0,0,0,0,2.211253949960382,2.211253949960382,7.450508314436886,3.4781145225621946,3.4781145225621946,8.149366177251938,5.559266895052007,7.112590865130758,0,0,4.708338111458743,4.708338111458743,57.36747312761828,0,2.274281430740086,2.274281430740086,215.575,0,0,0,0,0,23.17363032249937,0.0,4.794988653138566,4.794988653138566,0,0,2.9050811452534475,2.9050811452534475,13.157871367196995,0,0,80,5.022633313741326,-0.9110380448475679,0,0,226.050905272,0,0,0.0,0,0,0,11.600939890232516
CC(=O)N(C)c1ccc(NC(=O)c2ccco2)cc1,0,0,0.0,0.14285714285714285,5.907179729351506,10.232726021206359,0,17.264370317534,4.995980286398305,0,0,10.0,10.0,1.6932244163097336,0,0,5.769210893398624,2,2,1.550626760714988,1.550626760714988,14.633849271910154,110.37533510112323,2,2,0,0,0,0,2.923459066778068,2.9234590667780678,1.4926531976554522,2.069068215582925,2.069068215582925,10.71341035121893,5.907179729351506,9.075387400469406,1,1,5.769210893398624,5.769210893398624,48.421612825283155,0,3.009930981608335,3.009930981608335,244.16499999999994,0,0,0,1,1,24.464831608403486,0.0,5.389882272896517,5.389882272896517,0,0,4.056334620041675,4.056334620041675,5.316788604006331,0,0,98,0.0,1.4079626217771064,0,0,258.100442308,1,1,5.760247418874442,0,0,0,4.417150937053347
CC(=O)c1c(N(C)C)cc[nH+]c1C(F)(F)F,0,0,0.0,0.4,0.0,1.4364814814814815,0,18.99525369620486,37.95038832199547,0,0,11.375,11.375,3.1704913076341645,0,0,4.549788446018627,1,1,1.4401395239998225,1.4401395239998225,4.899909730850478,90.89372365145235,1,1,0,0,0,0,2.1449633119336027,2.1449633119336027,1.1164814814814816,3.5155596118206547,3.5155596118206547,9.144055843370754,5.693927994848461,7.247906125614375,0,0,4.549788446018627,4.549788446018627,23.520590126620146,0,2.3163611264478923,2.3163611264478923,221.11699999999993,0,0,0,0,0,14.844583333333334,0.0,4.112336342245376,4.112336342245376,0,0,3.5612837895671645,3.5612837895671645,4.9839785209472085,0,0,88,5.563451491696996,-1.0928009259259253,0,0,233.08962408409,1,1,11.980088517978015,1,1,0,0.0
CC(C)(N[O-])/C(=N/O)c1cccs1,0,0,1.428171296296296,0.375,0.0,3.6437230725623584,0,0.0,0.0,0,0,13.307692307692308,13.307692307692308,0.0,0,0,3.772899149870838,0,0,0.9439180955676564,0.9439180955676565,15.894602647675782,80.47326402031105,0,0,0,0,0,0,2.581835931302468,2.581835931302468,3.322962962962963,3.0082265404691277,3.0082265404691273,7.442974579496521,0.0,6.114520292286104,0,0,4.652551961125733,4.652551961125733,27.597197125867723,0,2.0601846789516176,2.0601846789516176,188.167,0,0,0,2,2,0.7878240740740744,0.0,3.865714294029372,3.8657142940293716,0,0,3.1529702905593293,3.1529702905593293,5.15571272675054,0,0,72,5.711685002770702,1.3437731481481487,0,0,199.05467217191,2,2,0.0,0,0,0,5.20725302477729
CC(C)C(=O)Nc1cc(=O)nc2nc[nH]n12,0,0,0.0,0.3333333333333333,5.907179729351506,1.2415277777777778,0,5.316788604006331,1.4322222222222223,0,0,10.9375,10.9375,0.0,0,0,4.817489043469402,1,1,1.1908444752628902,1.1908444752628902,5.316788604006331,90.50963586723559,1,1,0,0,0,0,2.6453871244530736,2.6453871244530736,3.5346267951625094,2.468616370799737,2.468616370799737,8.89018817499648,11.3369206189712,7.575387400469408,0,0,4.817489043469402,4.817489043469402,22.74749122234998,0,1.7879597866742194,1.7879597866742194,210.132,0,0,0,2,2,30.231362433862436,0.0,3.761954042784855,3.7619540427848546,0,0,3.646278884943332,3.646278884943332,20.383427454201787,0,0,84,12.14518285259957,-0.4387443310657593,0,0,221.091274592,2,2,0.0,0,0,0,0.0
CC(C)[NH+](Cc1nc2ccccc2[nH]1)C(C)C,0,0,0.0,0.5,0.0,9.434809145880573,0,0.0,0.0,0,0,12.176470588235292,12.176470588235293,0.0,0,0,6.368421991824262,0,0,2.3576230228045474,2.3576230228045474,9.883888251797686,102.8563045241726,0,0,0,0,0,0,2.667876314520772,2.667876314520772,10.009884731670445,2.220398024933982,2.220398024933982,11.118421991824263,0.0,8.075387400469408,1,1,6.368421991824262,6.368421991824262,30.089872771846366,0,2.666670031764629,2.6666700317646295,210.17499999999998,0,0,0,2,2,9.604079743008315,0.0,4.880233899047509,4.880233899047509,0,0,5.261739163674579,5.261739163674579,49.79563997758012,0,0,92,6.544756405912575,2.1978930461073323,0,0,232.18082412408998,2,2,5.824404497999927,0,0,0,0.0
