qed,Kappa3,Chi1v,FpDensityMorgan2,BCUT2D_LOGPHI,BCUT2D_MRLOW,FpDensityMorgan1,BertzCT,fr_methoxy,MolLogP,MaxEStateIndex,fr_NH0,FpDensityMorgan3,BCUT2D_CHGHI,BalabanJ,BCUT2D_LOGPLOW,MinEStateIndex,SPS,TPSA,Chi3v,MaxAbsEStateIndex,BCUT2D_MWLOW,NumAromaticHeterocycles,MinPartialCharge,AvgIpc,fr_ether,BCUT2D_MRHI,MinAbsPartialCharge,MinAbsEStateIndex,BCUT2D_CHGLO,MolMR,fr_Ar_N,Chi4v,Kappa1,fr_sulfonamd,HallKierAlpha,BCUT2D_MWHI,Chi4n
0.592228452,1.635046559,3.022544446,1.636363636,2.061950184,1.044247627,1.181818182,272.7741588,0,0.0691,5.313888889,3,2,1.999502103,3.186012534,-2.047655519,0.120833333,9.545454545,90.71,1.051722969,5.313888889,10.32411586,1,-0.367628773,1.846046792,0,5.553819249,0.224862541,0.120833333,-1.985356728,43.3598,3,0.600229956,7.456951872,0,-1.65,15.13676809,0.600229956
0.785413578,2.683837093,5.444609347,2.235294118,2.220549528,0.359024979,1.470588235,628.0874465,0,3.23272,11.23895421,0,2.941176471,2.036407524,2.428297768,-1.99171428,-0.36675639,10.47058824,39.44,2.427385331,11.23895421,10.1298189,1,-0.487876876,2.250828937,1,6.289503805,0.335962156,0.225307618,-2.058729632,67.709,0,1.611224822,11.73687562,0,-1.74,35.4957044,1.55667035
0.581061656,8.742061192,4.955455015,1.333333333,1.944846032,-0.12173994,0.933333333,212.7424206,0,0.7611,11.09070633,0,1.666666667,2.025366685,3.429549546,-2.250322286,-0.049610471,9.066666667,58.2,1.694814383,11.09070633,10.19413051,0,-0.352646718,2.2311613,0,5.784330242,0.219754945,0.049610471,-2.024953117,60.2644,0,0.958287773,13.42,0,-1.58,16.15139243,0.958287773
0.441090345,1.75386752,5.146221693,2.235294118,2.062715564,-0.585723269,1.529411765,631.4187254,0,0.55792,11.89223828,2,2.941176471,2.165356919,2.802026556,-2.432023918,-0.457824074,10.41176471,58.17,2.439418558,11.89223828,10.26693269,1,-0.617887909,2.36181483,0,5.70526087,0.351624119,0.076631708,-2.109326776,63.549,2,1.586948679,11.1933263,0,-2.3,16.65860716,1.586948679
0.720343449,2.274281431,4.708338111,1.866666667,1.970346484,0.625698602,1.266666667,499.1243443,0,1.0354,11.69358025,2,2.4,2.068967652,3.478114523,-2.388419574,-0.498260267,9.933333333,44,2.091972823,11.69358025,10.48628144,1,-0.295099319,2.21125395,0,6.297760173,0.295099319,0.012314815,-2.066518608,60.366,2,1.397909291,11.52434944,0,-1.55,35.49569131,1.178088588
0.919643862,3.009930982,5.769210893,1.842105263,2.172327706,-0.115800083,1.157894737,573.2483621,0,2.5146,11.73282759,1,2.368421053,2.091699619,2.069068216,-2.221879132,-0.307710643,10,62.55,2.729780046,11.73282759,10.22825176,1,-0.459191279,2.923459067,0,6.019666804,0.290848608,0.048730436,-2.14757562,72.1872,0,1.550626761,12.88556435,0,-2.56,16.34062221,1.550626761
0.729685813,2.316361126,4.549788446,1.9375,2.320585208,-0.42547129,1.375,413.0154358,0,1.7881,12.65012944,1,2.3125,2.428906748,3.515559612,-2.2730185,-4.562476852,11.375,34.45,2.092355248,12.65012944,10.06916184,1,-0.376692239,2.144963312,0,6.000136869,0.376692239,0.248680556,-2.156817141,52.3312,1,1.440139524,12.47939625,0,-1.59,19.41321959,1.440139524
0.442790611,2.060184679,4.652551961,2.384615385,2.176389406,0.31315681,1.692307692,293.1024881,0,1.7924,10.60982237,1,2.769230769,2.231974944,3.00822654,-2.432846827,-0.86150463,13.30769231,67.68,2.578315703,10.60982237,9.982747599,1,-0.787100809,2.581835931,0,7.117986065,0.115218078,0.358796296,-2.296792302,53.2242,0,1.812406781,10.17271299,0,-0.91,32.13347327,0.943918096
0.746837192,1.787959787,4.817489043,2.3125,2.054457107,-0.118463801,1.5625,582.8420245,0,0.0121,11.50789872,3,3,2.106818525,2.468616371,-2.216952736,-0.438744331,10.9375,92.15,2.053791852,11.50789872,10.19308821,2,-0.310212462,2.645387124,0,5.908482968,0.276253825,0.164964097,-2.075370764,57.0754,4,1.190844475,10.34159882,0,-2.18,16.15068712,1.190844475
0.827203384,2.666670032,6.368421992,1.764705882,2.090068574,-0.955397162,1.117647059,443.9279087,0,1.7646,4.640925926,1,2.352941176,2.186125083,2.220398025,-3.162025615,0.614085412,12.17647059,33.12,3.293151914,4.640925926,10.20984235,1,-0.337205962,2.667876315,0,5.74095938,0.162213923,0.614085412,-2.258683804,71.0324,2,2.357623023,12.11605164,0,-1.35,15.18901646,2.357623023
0.892287674,2.943931332,5.979281739,1.888888889,2.170491591,0.102175886,1.166666667,517.9496821,0,3.4573,11.88176792,1,2.444444444,2.054442993,2.079845922,-2.114267741,-0.138521353,10.38888889,41.99,2.758944507,11.88176792,10.03319026,1,-0.321949484,2.400704146,0,6.03486552,0.256724255,0.138521353,-2.078171975,72.7212,1,1.651689627,12.30095429,0,-2.16,16.14916821,1.651689627
0.575884438,2.953088807,5.321367205,1.4375,2.032850931,-0.353734235,0.875,460.6087192,0,1.9292,3.295898526,0,2.0625,1.997067732,2.090928375,-2.671310554,1.011481481,11.1875,26,2.211253271,3.295898526,10.28940552,0,-0.244881338,2.311528916,0,5.889390665,0.244881338,1.011481481,-1.974814282,67.8104,0,1.507235074,10.4285596,0,-2.09,14.98435009,1.507235074
0.823001681,3.768909351,6.120338909,1.941176471,2.16819273,-0.124871801,1.294117647,358.9947718,1,2.7476,11.82634354,0,2.529411765,2.13402858,2.577896564,-2.292418028,0.115469577,10.35294118,38.33,3.001982333,11.82634354,10.02570731,0,-0.496406516,2.377146173,1,5.780576613,0.222855767,0.115469577,-2.136590218,68.9127,0,1.835153424,13.55455778,0,-1.51,16.46584207,1.835153424
0.448068631,1.726165538,5.138967508,2.2,2.1943007,0.317700204,1.4,485.0827057,0,3.1463,8.962478269,1,2.933333333,2.085019979,2.513273428,-1.984276069,0.745324074,12.2,48.38,2.507660722,8.962478269,10.05535768,1,-0.410623409,2.695747878,0,6.098900718,0.088861531,0.745324074,-1.997485004,61.5302,1,1.785615215,9.772438772,0,-1.77,16.43408033,1.785615215
0.771523045,1.923775773,4.934773542,2.4375,2.042315501,-0.115784344,1.625,570.528187,0,0.1562,11.4081302,3,3.1875,2.071735982,2.38956762,-2.176984575,-0.431575491,10.5625,92.15,2.022696094,11.4081302,10.3071397,2,-0.310438053,2.651483649,0,5.893862187,0.276253824,0.14212963,-2.045266429,57.1454,4,1.35268696,10.34159882,0,-2.18,16.15000578,1.35268696
0.551001163,4.190965225,7.33273919,1.8,2.347324548,-0.170743794,1.133333333,321.6538211,0,2.5306,11.82310138,0,2.4,2.088719321,2.489969531,-2.171227324,-3.335078578,11.6,40.13,4.44554188,11.82310138,10.20693469,0,-0.795978299,2.257899092,0,7.642233115,0.043293435,0.302592593,-2.230739072,62.6915,0,3.055457221,12.47939625,0,-0.59,31.17755891,1.530955409
0.6646382,2.587330119,6.01285489,2.111111111,2.149964212,0.050161994,1.333333333,615.710368,0,2.485,11.910702,0,2.888888889,2.119361769,2.371183812,-2.12883418,-0.43912037,10.5,59.16,2.701497437,11.910702,10.10306371,1,-0.462078271,2.375020925,1,6.026177861,0.338516475,0.295239329,-2.060789852,69.7592,1,1.760481714,12.35936767,0,-2.1,16.53274967,1.760481714
